sensor,rank_type,unique_id,score
SourcePwr_Read,bottom,20240325065712_D4078820-4,-4.440519
SourcePwr_Read,bottom,20240327051957_D4069950-20,-4.4401894
SourcePwr_Read,bottom,20240328011133_D4138300-22,-4.4398665
SourcePwr_Read,top,20240118045529_D3511600-21,-3.3044038
SourcePwr_Read,top,20240115003747_D4029820-2,-3.3032186
SourcePwr_Read,top,20240117160415_D3518020-7,-3.298572
SourcePwr_Read,top,20240117190257_D3508440-21,-3.2967126
SourcePwr_Read,top,20240116173337_D332EQQ0-12,-3.2865622
SourcePwr_Read,top,20240116225213_D348FR20-23,-3.2805216
SourcePwr_Read,top,20240114233942_D3508720-18,-3.2758896
SourcePwr_Read,top,20240115095944_D325E830-1,-3.2746472
SourcePwr_Read,top,20240330222334_D410Y9M0-18,-3.2701182
SourcePwr_Read,top,20240127051304_D349YNE0-7,-3.2417703
Temp,bottom,20240112123148_D344FJQ0-16,-8.7232685
Temp,bottom,20240509032220_D418R9K0-5,-8.713766
Temp,bottom,20240508231118_D4128230-17,-8.608083
Temp,bottom,20240510215245_D4108380-12,-8.511998
Temp,bottom,20240207100601_D348FRU0-14,-8.507069
Temp,bottom,20240224061353_D408Y7P0-20,-8.501658
Temp,bottom,20240105064631_D340FBT0-13,-8.494731
Temp,bottom,20240204190903_D329FYG0-20,-8.469426
Temp,bottom,20240214192600_D344FK50-17,-8.450581
Temp,bottom,20240318040256_D409Y930N-3,-8.433386
Temp,top,20240416030128_D410EMP0-4,-5.6255794
Temp,top,20240419072200_D4132280F-7,-5.623529
Temp,top,20240404171756_D4101080-23,-5.597453
Temp,top,20240402000055_D4101260-21,-5.5901995
Temp,top,20240415081830_D4121800-25,-5.590191
Temp,top,20240422032401_D4111460-25,-5.586712
Temp,top,20240413191352_D4111420-25,-5.577475
Temp,top,20240419201416_D4121820-5,-5.576238
Temp,top,20240403235626_D4101260-25,-5.5724707
Temp,top,20240420060144_D4111340-25,-5.5338216
Wall_Temp_Monitor,bottom,20240115215117_D3508580-3,-14.511305
Wall_Temp_Monitor,bottom,20240710091446_D4241970-3,-14.421434
Wall_Temp_Monitor,bottom,20240131074630_D329EG50-24,-14.274003
Wall_Temp_Monitor,bottom,20240209095311_D351846A-14,-14.260777
Wall_Temp_Monitor,bottom,20240411140831_D409EJC0-3,-14.218627
Wall_Temp_Monitor,bottom,20240408020050_D4079310-16,-14.204902
Wall_Temp_Monitor,bottom,20240405010631_D408EFL0-7,-14.188474
Wall_Temp_Monitor,bottom,20240407232517_D403F2N0-1,-14.170795
Wall_Temp_Monitor,bottom,20240318110454_D4039600-22,-14.1569395
Wall_Temp_Monitor,bottom,20240302191801_D4058490-3,-14.143868
Wall_Temp_Monitor,top,20240105122745_D3478820-3,-1.2087154
Wall_Temp_Monitor,top,20240318125604_D4078760-17,-1.2057545
Wall_Temp_Monitor,top,20240113110932_D3506370-7,-1.2020392
Wall_Temp_Monitor,top,20240415003404_D4088680-9,-1.185356
Wall_Temp_Monitor,top,20240126232035_D346FNA0-14,-1.1821924
Wall_Temp_Monitor,top,20240707015843_D4231510-25,-1.169426
Wall_Temp_Monitor,top,20240307003816_D4055060-21,-1.1675732
Wall_Temp_Monitor,top,20240320114331_D402EQ70-10,-1.1667621
Wall_Temp_Monitor,top,20240123052649_D349FS50-2,-1.1269019
Wall_Temp_Monitor,top,20240116010147_D40272Q0-15,-1.0726734
